prompt_id,domain,card_ids,v0.1_control,v0.1_treatment,v0.1_delta,v0.2lite_control,v0.2lite_treatment,v0.2lite_delta,v0.2lite_treatment_severity
mvt-find-c-quadratic-py,mathematics-analysis,mean-value-theorem,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
triangle-inequality-py,mathematics-analysis,triangle-inequality,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
vector-triangle-inequality-py,mathematics-analysis,triangle-inequality,0.0000,0.7500,+0.7500,0.0000,0.2500,+0.2500,MEDIUM
central-second-derivative-py,numerical-methods-finite-difference,finite-difference-truncation-error,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
forward-first-derivative-py,numerical-methods-finite-difference,finite-difference-truncation-error,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
richardson-2nd-derivative-py,numerical-methods-finite-difference,finite-difference-truncation-error,0.0000,0.0000,+0.0000,0.0000,0.0000,+0.0000,HIGH
rk4-integrate-exp-decay-py,numerical-methods-ode,runge-kutta-4,0.0000,0.0000,+0.0000,0.0000,0.0000,+0.0000,HIGH
rk4-vs-euler-convergence-order-py,numerical-methods-ode,runge-kutta-4,0.0000,0.0000,+0.0000,0.0000,0.0000,+0.0000,HIGH
runge-kutta-4-step-py,numerical-methods-ode,runge-kutta-4,0.7500,0.0000,-0.7500,0.7500,0.0000,-0.7500,HIGH
cfl-1d-advection-max-dt-py,numerical-methods-pde,cfl-stability-condition,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
cfl-step-size-py,numerical-methods-pde,cfl-stability-condition,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
damped-oscillator-q-factor-py,physics-classical-mechanics,simple-harmonic-oscillator,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
free-fall-max-height-py,physics-classical-mechanics,free-fall-uniform-gravity,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
free-fall-trajectory-py,physics-classical-mechanics,free-fall-uniform-gravity,0.0000,0.7500,+0.7500,0.0000,0.0000,+0.0000,HIGH
momentum-inelastic-collision-py,physics-classical-mechanics,conservation-of-momentum,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
sho-period-py,physics-classical-mechanics,simple-harmonic-oscillator,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
simple-harmonic-oscillator-py,physics-classical-mechanics,simple-harmonic-oscillator,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
bloch-cosine-band-group-velocity-py,physics-condensed-matter,bloch-theorem,0.7500,0.7500,+0.0000,0.5000,0.0000,-0.5000,HIGH
bloch-group-velocity-py,physics-condensed-matter,bloch-theorem,0.7500,0.0000,-0.7500,0.3750,0.7500,+0.3750,LOW
effective-mass-tight-binding-py,physics-condensed-matter,bloch-theorem,0.5625,0.0000,-0.5625,0.7500,0.7500,+0.0000,LOW
fermi-energy-3d-free-electron-py,physics-condensed-matter,density-of-states,0.7500,0.7500,+0.0000,0.0000,0.7500,+0.7500,LOW
lda-exchange-energy-uniform-py,physics-condensed-matter,lda-exchange-correlation,0.7500,0.0000,-0.7500,0.7500,0.0000,-0.7500,HIGH
lindhard-static-1d-py,physics-condensed-matter,lindhard-susceptibility,0.7500,0.7500,+0.0000,0.7500,0.0000,-0.7500,HIGH
coulomb-3body-equilibrium-py,physics-electromagnetism,coulombs-law-point-charges,0.7500,0.7500,+0.0000,0.7500,0.0000,-0.7500,HIGH
coulomb-potential-energy-py,physics-electromagnetism,coulombs-law-point-charges,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
coulombs-law-force-py,physics-electromagnetism,coulombs-law-point-charges,0.7500,0.0000,-0.7500,0.3750,0.0000,-0.3750,HIGH
faraday-emf-py,physics-electromagnetism,faraday-law-induction,0.7500,0.0000,-0.7500,0.7500,0.0000,-0.7500,HIGH
gauss-flux-off-center-sphere-py,physics-electromagnetism,gauss-law-electricity,0.6250,0.0000,-0.6250,0.0000,0.0000,+0.0000,HIGH
gauss-law-sphere-field-py,physics-electromagnetism,gauss-law-electricity,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
continuity-flow-rate-py,physics-fluid-dynamics,continuity-equation,0.7500,0.7500,+0.0000,0.0000,0.7500,+0.7500,LOW
boltzmann-entropy-change-py,physics-statistical-mechanics,boltzmann-entropy,0.7500,0.0000,-0.7500,0.7500,0.0000,-0.7500,HIGH
boltzmann-entropy-mixing-py,physics-statistical-mechanics,boltzmann-entropy,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
boltzmann-entropy-py,physics-statistical-mechanics,boltzmann-entropy,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
gas-rms-vs-mean-vs-most-probable-py,physics-statistical-mechanics,maxwell-boltzmann-speed-distribution,0.7500,0.0000,-0.7500,0.7500,0.0000,-0.7500,HIGH
maxwell-boltzmann-mean-speed-py,physics-statistical-mechanics,maxwell-boltzmann-speed-distribution,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
first-law-thermodynamics-py,physics-thermodynamics,first-law-of-thermodynamics,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
